device,device_count
TSforiPhone,2870
TSforAndroid,1829
TSCareerArc2.0,187
TSInstagram,182
TSWebApp,79
TSFoursquare,38
TSUntappd,27
TSforiPad,23
TSCOREListingMachine,17
TSiembot,10
