device,device_count
TSforiPhone,361
TSforAndroid,293
TSInstagram,23
TS511NY-Tweets,7
TSdlvr.it,5
TSWebApp,5
TSforiPad,3
TSNYTransit,3
TSFoursquare,3
TSLandmarkManagerWeb,2
