word,word_count
"#EarthDay",19
"#EternalLivingWord",13
"#traffic",13
"#EarthDay2022",13
"#realestate",13
"#earthday",10
"#listing",9
"#massage_in_riyadh",9
"#امپورٹڈ_حکومت_نامنظور",9
"#TikTok",8
